Pointer,VRAMOffset,Original,Translated
0x5939B,0x9904,メダロット スタッフ<*10>,Medarot Staff<*10>
0x5939D,0x9AA2,げんさく・キャラクターデザイン<*08>,Concept/Character Design<*08>
0x5939F,0x9AE7,ほるま リん<*20>,HORUMA Rin<*20>
0x593A1,0x9B63,コミックボンボン スタッフ<*20>,Comic BomBom Staff<*20>
0x593A3,0x9BE7,アドバイザー<*10>,Advisors<*10>
0x593A5,0x9826,よねだ こうじ<*10>,YONEDA Kouji<*10>
0x593A7,0x9865,きたむら なおき<*10>,KITAMURA Naoki<*10>
0x593A9,0x98A5,かみぞの こういち<*20>,KAMIZONO Kouichi<*20>
0x593AB,0x9924,イマジニア スタッフ<*20>,Imagineer Staff<*20>
0x593AD,0x99A3,エグゼクティブプロデューサー<*10>,Executive Producer<*10>
0x593AF,0x99E5,かみくら たかゆき<*20>,KAMIKURA Takayuki<*20>
0x593B1,0x9A66,スーパーバイザー<*10>,Supervisor<*10>
0x593B3,0x9AA6,たしろ せいじ<*20>,TASHIRO Seiji<*20>
0x593B5,0x9B25,ジェネラルマネージャー<*10>,General Manager<*10>
0x593B7,0x9B66,いいだ しゅうヘい<*20>,IIDA Shuuhei<*20>
0x593B9,0x9BE6,プロデューサー<*10>,Producers<*10>
0x593BB,0x9825,さくらい こういちろう<*10>,SAKURAI Kouichirou<*10>
0x593BD,0x9865,おおすが あつし<*20>,OOSUGA Atsushi<*20>
0x593BF,0x98E5,パブリシティスタッフ<*10>,Publicity Staff<*10>
0x593C1,0x9925,ほリきリ ただし<*10>,HORIKIRI Tadashi<*10>
0x593C3,0x9965,やまうち たかし<*10>,YAMAUCHI Takashi<*10>
0x593C5,0x99A5,すみおか かずのリ<*10>,SUMIOKA Kazunori<*10>
0x593C7,0x99E5,おおのぎ よしひろ<*20>,OONOGI Yoshihiro<*20>
0x593C9,0x9A66,セールススタッフ<*10>,Sales Staff<*10>
0x593CB,0x9AA5,わたなべ よしかず<*10>,WATANABE Yoshikazu<*10>
0x593CD,0x9AE6,なかの のぶひろ<*10>,NAKANO Nobuhiro<*10>
0x593CF,0x9B25,みつざわ かいちろう<*10>,MITSUZAWA Kaichirou<*10>
0x593D1,0x9B65,まつもと じゅんいち<*10>,MATSUMOTO Junichi<*10>
0x593D3,0x9BA6,うえだ しゅうヘい<*10>,UEDA Shuuhei<*10>
0x593D5,0x9BE5,きしもと ますみ<*20>,KISHIMOTO Masumi<*20>
0x593D7,0x9867,ディレクター<*10>,Director<*10>
0x593D9,0x98A5,かわむら なおや<*20>,KAWAMURA Naoya<*20>
0x593DB,0x9927,アシスタント<*10>,Assistants<*10>
0x593DD,0x9965,うらもと まさひろ<*10>,URAMOTO Masahiro<*10>
0x593DF,0x99A6,ほんま いちろう<*20>,HONMA Ichirou<*20>
0x593E1,0x9A25,テスティングスタッフ<*10>,Testing Staff<*10>
0x593E3,0x9A65,はなぶさ たかのリ<*10>,HANABUSA Takanori<*10>
0x593E5,0x9AA6,ながい まさよし<*10>,NAGAI Masayoshi<*10>
0x593E7,0x9AE6,たけだ あつき<*10>,TAKEDA Atsuki<*10>
0x593E9,0x9B26,うすい ようすけ<*10>,USUI Yousuke<*10>
0x593EB,0x9B66,そのべ あつや<*18>,SONOBE Atsuya<*18>
0x593ED,0x9BE6,ナツメ スタッフ<*20>,Natsume Staff<*20>
0x593EF,0x9863,エグゼクティブプロデューサー<*10>,Executive Producer<*10>
0x593F1,0x98A5,まつもと たかし<*20>,MATSUMOTO Takashi<*20>
0x593F3,0x9926,スーパーバイザー<*10>,Supervisor<*10>
0x593F5,0x9966,ひろた きみお<*20>,HIROTA Kimio<*20>
0x593F7,0x99E6,プロデューサー<*10>,Producer<*10>
0x593F9,0x9A25,みずたに いく<*20>,MIZUTANI Iku<*20>
0x593FB,0x9AA7,ディレクター<*10>,Director<*10>
0x593FD,0x9AE5,しらかわ てるゆき<*20>,SHIRAKAWA Teruyuki<*20>
0x593FF,0x9B67,プログラム<*10>,Program<*10>
0x59401,0x9BA5,きたむら わたる<*20>,KITAMURA Wataru<*20>
0x59403,0x9827,グラフィック<*10>,Graphics<*10>
0x59405,0x9866,ひらの かな<*20>,HIRANO Kana<*20>
0x59407,0x98E6,サウンドデザイン<*10>,Sound Design<*10>
0x59409,0x9926,うえだ きぬよ<*20>,UEDA Kinuyo<*20>
0x5940B,0x99A5,スペシャルサンクス<*10>,Special Thanks<*10>
0x5940D,0x99E6,いわさ としかず<*10>,IWASA Toshikazu<*10>
0x5940F,0x9A25,たかおか しゅうや<*10>,TAKAOKA Shuuya<*10>
0x59411,0x9A66,かなめ としあき<*10>,KANAME Toshiaki<*10>
0x59413,0x9AA4,きょうごく しんじ<*10>,KYOUGOKU Shinji<*10>
0x59415,0x9AE6,わさき リょう<*10>,WASAKI Ryou<*10>
0x59417,0x9B26,よしだ ゴー,YOSHIDA Go
