Pointer[#version],Original,Translated
0x74000,ヘんどうの こうかが はっせいした!<S3c><4A><S2>こうどうせいこうリつが さがった!<S3c><*4>,Inflicted Flux status!<S3c><4C><S02>Success rate down!<S3c><*4>
0x74002,ていしの こうかが はっせいした!<S3c><4A><S2>しばらくのあいだ うごけない!<S3c><*4>,Inflicted Stop status!<S3c><4C><S02>Unable to move!<S3c><*4>
0x74004,そくばくの こうかが はっせいした!<S3c><4A><S2>スピードが おそくなった!<S3c><*4>,Inflicted Bind status!<S3c><4C><S02>Speed decreased!<S3c><*4>
0x74006,けいぞくの こうかが はっせいした!<S3c><4A><S2>いどうちゅうも ダメージを うける!<S3c><*4>,Inflicted Burn status!<S3c><4C><S02>Continuous damage!<S3c><*4>
0x74008,<&BUF01> は<4E>ヘんどう から かいじょされた!<S3c><*1>,<&BUF01>'s Flux wore off!<S3c><*1>
0x7400a,<&BUF01> は<4E>ていし から かいじょされた!<S3c><*1>,<&BUF01> recovered from Stop!<S3c><*1>
0x7400c,<&BUF01> は<4E>そくばく から かいじょされた!<S3c><*1>,<&BUF01>'s Bind wore off!<S3c><*1>
0x7400e,<&BUF01> は<4E>けいぞく から かいじょされた!<S3c><*1>,<&BUF01>'s Burn wore off!<S3c><*1>
0x74010,<&BUF01> は<4E>かいじょするものが なかった!<S3c><*4>,There are no status effects to clear!<S3c><*4>
0x74012,<&BUF01> は<4E>かいじょに しっぱいした!<S3c><*4>,<&BUF01>'s status clear failed!<S3c><*4>
0x74014,<&BUF01> は<4E>ヘんどうの こうかを かいじょした!<S3c><*4>,<&BUF01> cleared all Flux status!<S3c><*4>
0x74016,<&BUF01> は<4E>ていしの こうかを かいじょした!<S3c><*4>,<&BUF01> cleared all Stop status!<S3c><*4>
0x74018,<&BUF01> は<4E>そくばくの こうかを かいじょした!<S3c><*4>,<&BUF01> cleared all Bind status!<S3c><*4>
0x7401a,<&BUF01> は<4E>けいぞくの こうかを かいじょした!<S3c><*4>,<&BUF01> healed all Burn status!<S3c><*4>
0x7401c,しかし ばくふうで ダメージをうけた<S3c><*4>,...But it took damage from the blast!<S3c><*4>
0x7401e,てんたいかんそくじょ,
0x74022,ほんたいかいかいじょう,
0x74024,せんしゅホテル,
0x74026,ゆにゅうひんや,
0x74028,メダロットけんきゅうじょ,
0x7402a,パディのいえ,
0x7402c,あがた イネサク<4E>    ヨネ  ,
0x7402e,イタコのいえ,
0x74030,メダルきねんかん,
0x74032,ペットショップ,
0x74034,ふくびきしょ,
0x74036,バー,
0x74038,むしはかせ けんきゅうじょ,
0x7403a,にんじゃやしき,
0x7403c,メダロットしゃ,
0x7403e,ユウキのいえ,
0x74040,やくば,
0x74042,あがた ベイスケ<4E>    マイコ <4C>あがた <&NAME><4E>    ボナパルト,
0x74044,キララのいえ,
0x74046,イセキのいえ,
0x74048,クボタのいえ,
0x7404a,ヤンマのいえ,
0x7404c,こっとうひんや,
0x7404e,セレクトしぶ,
0x74050,セレクトほんしゃビル,
0x74052,そんちょうのいえ,
0x74054,ねこまねきだ,
0x74056,ぽこぽこたぬきだ,
0x74058,みたことのないむしだ,
0x7405a,しんがたパーツが いっぱいある,
0x7405c,す すごいメダルだ!,
0x7405e,ほかのひとの パソコンは<4E>みちゃいけないぞ,
0x74060,メダロットグッズが やまづみだ,
0x74062,パーツの じどうはんばいきだ!<4E>だけど ぜんぶ うリきれだ!,
0x74064,メダロットが でます<4E>エサを あたえないでください,
0x74066,きけん!!<4E>うちゅうじんが でます,
0x74068,メダル 「<&BUF01>」 は<4E>レベルアップした!<4C><*4>,<&BUF01> Medal leveled up!<4C><*4>
0x740a2,なぐるが <&BUF01> あがった!<4C><*4>,Strike skill increased by <&BUF01>!<4C><*4>
0x740a4,がむしゃらが <&BUF01> あがった!<4C><*4>,Berserk skill increased by <&BUF01>!<4C><*4>
0x740a6,うつが <&BUF01> あがった!<4C><*4>,Shoot skill increased by <&BUF01>!<4C><*4>
0x740a8,ねらいうちが <&BUF01> あがった!<4C><*4>,Snipe skill increased by <&BUF01>!<4C><*4>
0x740aa,おうえんが <&BUF01> あがった!<4C><*4>,Support skill increased by <&BUF01>!<4C><*4>
0x740ac,まもるが <&BUF01> あがった!<4C><*4>,Protect skill increased by <&BUF01>!<4C><*4>
0x740ae,なおすが <&BUF01> あがった!<4C><*4>,Heal skill increased by <&BUF01>!<4C><*4>
0x740b0,そのほかが <&BUF01> あがった!<4C><*4>,Other skill increased by <&BUF01>!<4C><*4>
0x740b2,メダル 「<&BUF01>」 は<4E>ランクアップした!<4C><*4>,<&BUF01> Medal's rank increased!<4C><*4>
0x740b4,さあ せんとうかいし!<*3>,Let the battle begin!<*3>
0x740f2,つうしんロボトルを はじめます!!<S3c><*4>,The link Robottle will now begin!<S3c><*4>
0x740f4,つかえません!!,You can't use that!!
0x740f6,すてることはできません,It can't be thrown away.
0x740f8,いくつすてますか?<*4>,How many?<*4>
0x740fa,ほんとうに すてても<4E>よろしいですか?<*4>,Are you sure you want to throw it away?<*4>
0x740fc,せんとうに さんかできません,It can't battle in this state.
0x740fe,<&BUF01> は<4E>なにも しなかった!<S1e><*4>,<&BUF01> did nothing!<S1e><*4>
0x74100,<&BUF01> の<4E>なぐる こうげき! <&BUF04>!<*4>,<&BUF01>'s Strike attack! <&BUF04>!<*4>
0x74102,<&BUF01> の<4E>がむしゃら こうげき! <&BUF04>!<*4>,<&BUF01>'s Berserk attack! <&BUF04>!<*4>
0x74104,<&BUF01> の<4E>なぐる こうげき! <&BUF04>!<*4>,<&BUF01>'s Strike attack! <&BUF04>!<*4>
0x74106,<&BUF01> の<4E>がむしゃら こうげき! <&BUF04>!<*4>,<&BUF01>'s Berserk attack! <&BUF04>!<*4>
